Träger Art;Träger N;Träger;Träger Telefon;Träger  Fax
Krankenkasse;Allianz Private Krankenversicherung  ;Königinstr. 28  80802  München;+49 89 3800-0;8004400103
Krankenkasse;Alllianz Versicherung  Schwanitz Gudrun;    ;08 00 / 4 10 01 08;
Krankenkasse;AOK Baden-Württemberg  ;Breitscheidstraße 18  70176  Stuttgart;0711 76161923;
Krankenkasse Intensivpflege;AOK Baden-Württemberg  ;Breitscheidstraße 18  70176  Stuttgart;0711 76161923;
Krankenkasse Intensivpflege;AOK Baden-Württemberg  ;Breitscheidstraße 18  70176  Stuttgart;0711 76161923;
Pflegekasse;AOK Bayern  ;Schäfflerstr. 16  84347  Pfarrkirchen;;
Pflegekasse;AOK Ludwigsburg  § 37 (3);Am Aurain 1  74321  Bietigheim-Bissingen;;07142 70 02 210
Krankenkasse;AOK Niedersachsen  ;Nordstr. 3  28857  Syke;04242 591 0;
Pflegekasse;AOK Niedersachsen  ;Niedersachsen Str. 4  49356  Diepholz;04242 591 0;
Pflegestärkungsgesetz;AOK Niedersachsen  ;Niedersachsen Str. 4  49356  Diepholz;04242 591 0;
Pflegekasse;AOK NORDWEST  ;  58079  Hagen;16 18-7 77;
Pflegekasse;AOK Rheinland  ;Friedrich-Ebert-Str. 49  45127  Essen;0800 329 0 329;
Pflegekasse;AOK Rheinland  ;Postfach 130162  47101  Duisburg;0203/80920;0203/8092110
Pflegestärkungsgesetz;AOK Rheinland  ;Postfach 130162  47101  Duisburg;0203/80920;0203/8092110
Pflegestärkungsgesetz;AOK Rheinland  ;Friedrich-Ebert-Str. 49  45127  Essen;0800 329 0 329;
Verhinderungspflege;AOK Rheinland  ;Friedrich-Ebert-Str. 49  45127  Essen;;
Pflegekasse;AOK Rheinland  § 37 (3);Friedrich-Ebert-Str. 49  45127  Essen;;
Krankenkasse;AOK Rheinland / Hamburg  ;Machabäerstr. 19-27  50668  Köln;0211 81950000;
Krankenkasse;AOK Rheinland / Hamburg  Regionaldirektion / Fachbereich Rechnungsprüfung HKP/Pflege;Postfach 10 03 63  45003  Essen;0201 20 11-0;0201 20 11 652
Krankenkasse;AOK Rheinland/ Hamburg  ;Machabäerst. 19-27  50668  Köln;0211 81950000;
Krankenkasse;AOK Rheinland/ Hamburg  ;  40466  Düsseldorf;;
Pflegekasse;AOK Rheinland/ Hamburg  ;    ;;0211 879 18 494 29
Pflegekasse;AOK Rheinland/Hamburg  ;Friedrich-Ebert-Straße 49  45127  Essen;;
Pflegestärkungsgesetz;AOK Rheinland/Hamburg Fachbereich Rechnungsprüfung HKP/Pflege  Team Betreuungsleistungen nach § 45b SGB XI;Friedrich-Ebert-Str. 49  45127  Essen;;
Pflegekasse;AOK Rheinland-Pfalz/ Saarland  § 37 (3);Tiergartenstraße 5-8  56410  Montabaur;02602 1310;02602 131170
Krankenkasse;Ayzen  Faina;Karl- Marx- Allee 71  50769  Köln;;
Krankenkasse;Bahn BKK  ;Abrechnungsstelle Emmendingen  79310  Emmendingen;;
Pflegekasse;Bahn BKK  ;Abrechnungszentrum Emmendingen  79310  Emmendingen;0800 22 46 255;0800 / 255 32 93
Pflegestärkungsgesetz;Bahn BKK  ;Abrechnungszentrum Emmendingen  79310  Emmendingen;0800 22 46 255;0800 / 255 32 93
Verhinderungspflege;BAHN-BKK Pflegekasse  ;Postfach 90 02 52  60442  Frankfurt am Main;;
Krankenkasse;Barmer  ;  73520  Schwäbisch Gmünd;8,00333E+14;8003330092
Pflegekasse;Barmer GEK  ;  50966  Köln;1,80501E+11;1,80501E+11
Pflegestärkungsgesetz;Barmer GEK  ;  73520  Schwäbisch Gmünd;0800 333 10 10;0800 333 00 92
Krankenkasse;Barmer GEK  Abrechnung häusl. Krankenpflege;Konsumstraße 51  42285  Wuppertal;;
Pflegekasse;Barmer GEK  Abrechnung häusl. Krankenpflege;Konsumstraße 51  42285  Wuppertal;;
Pflegestärkungsgesetz;Barmer GEK  Abrechnung häusl. Krankenpflege;Konsumstraße 51  42285  Wuppertal;1,80501E+11;1,80501E+11
Krankenkasse;BEK Zwickau  ;Lothar-Streit-Str. 10b  08056  Zwickau;;
Pflegekasse;Big direkt Gesund  ;Aachener Str. 300  50933  Köln;0800 54565456;
Pflegekasse;BIG direkt gesund  BundesInnungskrankenkasse Gesundheit;Rheinische Str. 1  44137  Dortmund;0231 5557 0;0231 5557 199
Pflegestärkungsgesetz;BKK Die Bergische  ;Postfach: 190540  42705  Solingen;0212 22620;0212 2262411
Krankenkasse;BKK Die Bergische KK  ;Postfach: 190540  42705  Solingen;0212 22620;0212 2262411
Pflegekasse;BKK EUREGIO  ;Kundenservice 2.2, Postfach 1320  52517  Heinsberg;;
Pflegestärkungsgesetz;BKK EUREGIO  ;Kundenservice 2.2, Postfach 1320  52517  Heinsberg;;
Pflegestärkungsgesetz;BKK Gildemeister  ;    ;;
Pflegekasse;BKK Gildemeister Seidensticker  ;Winterstraße 49  33649  Bielefeld;0521 522 80;0521 522 870 0
Krankenkasse;BKK Linde  ;Ringstr. 8  50996  Köln;;
Pflegekasse;BKK Linde  c/o DAVASO GmbH;  04310  Leipzig;02 21 / 29 99 89 10;02 21 / 29 99 89 20
Pflegestärkungsgesetz;BKK Linde  c/o DAVASO GmbH;  04310  Leipzig;02 21/29 99 89 10;02 21/29 99 89 20
Krankenkasse;BKK Metro AG  ;Hansaring 97  50670  Köln;;
Pflegekasse;BKK Metro AG  Pflege;Hansaring 97  50670  Köln;;
Krankenkasse;BKK Pfalz  ;Lichtenbergerstraße 16  67059  Ludwigshafen;;0621 68 559 559
Krankenkasse;BKK VBU  ;Lindenstr. 67  10969  Berlin;0800 165 66 16;0800 165 66 17
Pflegekasse;BKK VBU  ;Lindenstr. 67  10969  Berlin;;
Krankenkasse;BKK VDN  ;Rosenweg 15  58239  Schwerte;02304 982 60;02304 982 650 0
Pflegekasse;BKK Vereinigte Deutsche Nickel-Werke  ;Rosenweg 15  58239  Schwerte;02304 9 826 0;02304 9 826 500
Pflegekasse;BKK24 ServiceCenter Rinteln  Fr. Britta Kretschmer;Mühlenstraße 16  31737  Rinteln;05751 918336;
Krankenkasse;BKK-Bahn  Regionalgeschäftsstelle Mitte- Ost KompetenzCenter Sonstige Leistungen;Postfach 15 60 22  03060  Cottbus;;
Pflegekasse;Bundesknappschaft  ;Engelsburgstr. 1a  44575  Castrop-Rauxel;;
Krankenkasse;Continentale Betriebskankenkasse  ;Zentraler Posteingang  30645  Hannover; 0800 6 26 26 26;
Pflegekasse;Continentale Betriebskankenkasse  ;Maiplatz 3  58540  Plettenbergt; 0800 6 26 26 26;
Pflegestärkungsgesetz;Continentale Betriebskrankenkasse  ;Maiplatz 3  58840  Plettenberg;0800 6 26 26 26;
Pflegekasse;Continentale Krankenversicherung a. G.  Continentale;Ruhrallee 92  44139  Dortmund;2319197104;2319192249
Pflegekasse;Daimler BKK  ;  28178  Bremen;;
Pflegestärkungsgesetz;DAK - Gesundheit  ;Gärtnerweg 12  04425  Taucha;;
Pflegestärkungsgesetz;DAK - Gesundheit  ;Postzentrum  22777  Hamburg;;
Verhinderungspflege;DAK - Gesundheit  c/o DAVASO GmbH;Gärtnerweg 12  04425  Taucha;;
Pflegekasse;DAK Gesundheit  ;Postzentrum  22777  Hamburg;0 40 / 3 25 32 58 56;0 40/3 34 70 12 3456
Krankenkasse;DAK Gesundheit Gesetzliche Krankenvesicherung  Fachzentrum Pflegeversicherung;Wiener Platz 4  51065  Köln;40325325856;4,03347E+12
Krankenkasse;DAK Gesundheit Servicezentrum Köln  ;Neumarkt 49  50667  Köln; 0221 9854150;
Pflegekasse;DAK INTER- FORUM Data Services GmbH  ;Gärtnerweg 12 - c/o DAVASO GmbH  04425  Taucha;0 40 / 325 325 555;0 40 /
Pflegestärkungsgesetz;DAK INTER- FORUM Data Services GmbH  ;Postzentrum  22777  Hamburg;;
Krankenkasse;DAK-Gesundheit  ;DAK-Gesundheit Postzentrum  22777  Hamburg;040 325325-856;040 33470-123456
Krankenkasse;DAK-Gesundheit  c/o DAVASO GmbH;Gärtnerweg 12  04425  Taucha;;
Krankenkasse;DAK-INTER-FORUM-Data Aervises GmbH  ;    ;;
Krankenkasse;DAVASO GmbH  ;Gärtnerweg 12  04425  Taucha;0 40 - 3 25 32 58 56;
Pflegekasse;DAVASO GmbH  ;  04311  Leipzig;;
Pflegekasse;DAVASO GmbH  ;    ;;
Krankenkasse;DDG  Abrechnungsstelle der BEK;Postfach  45120  Essen;0201 899 86 20;
Pflegekasse;DDG  Abrechnungsstelle der BEK;Postfach  45120  Essen;0201 899 86 20;
Pflegestärkungsgesetz;DDG  Abrechnungsstelle der BEK;Postfach  45120  Essen;0201 899 86 20;
Krankenkasse;Debeka  ;    ; 0261 94143 - 0;
Pflegestärkungsgesetz;Deutsche Krankenversicherung  ;Scheidtweiter Str. 4  50933  Köln;;
Krankenkasse;DEVK  ;Riehler Str. 190  50735  Köln;0800 475 77 57;0221 757 22 00
Pflegekasse;DEVK  ;Riehler Str. 190  50735  Köln;;
Pflegestärkungsgesetz;DEVK  ;Riehler Str. 190  50735  Köln;;
Krankenkasse;Die Bergische Krankenkasse  ;Hauptstrasse 164 A  51465  Bergisch Gladbach;02202 294120;
Pflegestärkungsgesetz;Die Bergische Krankenkasse  ;Postfach 190540  42705  Solingen;0212 22620;
Pflegekasse;Die Schwenningen BKK  §37 (3);  78044  Villingen-Schwenningen;;
Pflegekasse;Die Schwenninger BKK  § 37 (3);  78044  Villingen-Schwenningen;;
Pflegekasse;DKV Deutsche Krankenversicherung AG  ;Scheidtweilerstr. 4  50933  Köln;0221 578 18 58;0180 578 6000
Krankenkasse;Dr. med. Viersbach  Gisela;Amorbacher Str. 4  51107  Köln;;
Pflegekasse;GBK  ;Jakordenstr. 18 - 20  50668  Köln;;
Pflegestärkungsgesetz;GEK Barmer  ;Postleitzahlraum 00001-46999  42266  Wuppertal;0800 333 1010;0800 3330090
Verhinderungspflege;GEK Barmer  ;  73524  Schwäbisch Gmünd;0800 333 1010;0800 3330090
Krankenkasse;Gothaer Krankenversicherugs AG  ;  50598  Köln;0221/30902065;0221/30902065
Krankenkasse;Grund, Gerda  ;Buchheimer Weg 10  51107  Köln;;
Pflegekasse;Handelskrankenkasse Bremen  ;Martinistraße 26  28195  Bremen;0421 / 365 50;0421 / 365 537 00
Krankenkasse;Hanseatische Krankenkasse  ;Wandsbeker Zollstraße 86-90  22041  Hamburg;0800 021 321 3;040 656 961 237
Pflegekasse;Hanseatische Krankenkasse  ;Wandsbeker Zollstraße 86-90  22041  Hamburg;0800 0213213;40656961237
Pflegestärkungsgesetz;Hanseatische Krankenkasse  ;Wandsbeker Zollstraße 86-90  22041  Hamburg;0800 0213213;40656961237
Pflegestärkungsgesetz;Heimat KrankenKasse  ;Herforder Straße 23  33602  Bielefeld; +49 521 92395-0;+49 521 92395-4150
Krankenkasse;HUK-Coburg  Geschäftsstelle Köln;Gereonsdriesch 13  50421  Köln;;
Pflegekasse;HUK-Coburg  Geschäftsstelle Köln;Gereonsdriesch 13  50421  Köln;;
Pflegestärkungsgesetz;HUK-Coburg  Geschäftsstelle Köln;Gereonsdriesch 13  50421  Köln;;
Pflegekasse;IKK - Nordrhein  Pflege;Aachenerstr. 1057  50858  Köln;;
Pflegekasse;IKK Brandenburg und Berlin  ;Postfach 30 35 40  10727  Berlin;;
Pflegestärkungsgesetz;IKK Brandenburg und Berlin  ;Postfach 30 35 40  10727  Berlin;;
Krankenkasse;IKK classic  ;Postfach 100753  47007  Duisburg;2,033E+12;2,033E+12
Krankenkasse;IKK classic  ;Postfach 1255  32292  Lübbecke;5,74134E+12;2,00456E+12
Krankenkasse;IKK classic  ;Postfach 1255  32292  Lübbecke;;
Krankenkasse;IKK classic  ;Postfach 50 07 61  04304  Leipzig;;
Pflegekasse;IKK classic  ;Postfach 500761  04063  Leipzig;;
Pflegestärkungsgesetz;IKK classic  ;  04063  Leipzig;;
Pflegekasse;IKK classic  §37 (3);Postfach 500761  04063  Leipzig;;
Krankenkasse;IKK classik  ;Gürzenichstr. 21  50667  Köln;0221 4891-0;
Verhinderungspflege;IKK classik  ;  04063  Leipzig;;
Krankenkasse;IKK Südwest  ;Berliner Promenade 1  66111  Saarbrücken;681936960;6,81937E+11
Pflegekasse;IKK Südwest  ;  66098  Saarbrücken;;
Pflegekasse;INTER Krankenversicherung aG  ;Erzberger Str. 9-15  68165  Mannheim;0621 427-427;0621 427-427
Pflegestärkungsgesetz;Kaminskyi, Kostiantyn  ;Bergisch-Gladbacher- Str. 263a  51063  Köln;;
Pflegestärkungsgesetz;Karpova Lyudmila  Sozialhilfeträger;Hermann-Hesse-Weg 2a  51109  Köln;;
Krankenkasse;KKH Kaufmännische Krankenkasse  c/o Abrechnungsstelle Emmendingen;An der B 3 Haus Nr. 6  79312  Emmendingen;0721 831532-1285;0721 8315321399
Verhinderungspflege;KKH Kaufmännische Krankenkasse  c/o Abrechnungsstelle Emmendingen;An der B 3 Haus Nr. 6  79312  Emmendingen;;
Pflegekasse;KKH Kaufmännische Krankenkasse  c/o Abrechnungszentrum Emmendingen;An der B 3 Haus Nr. 6  79312  Emmendingen;0221 966936-0;
Pflegestärkungsgesetz;KKH Kaufmänsche Krankenkasse  c/o Abrechnungsstelle Emmendingen;An der B 3 Haus Nr. 6  79312  Emmendingen;0221 966936-0;
Krankenkasse;KNAPPSCHAFT  ;Millerntorplatz 1  20359  Hamburg;;
Krankenkasse;Knappschaft  ;  45095  Essen;2,27199E+11;2,34978E+12
Pflegekasse;KNAPPSCHAFT  ;Millerntorplatz 1  20359  Hamburg;;
Pflegekasse;Knappschaft  ;  45095  Essen;40303880;
Verhinderungspflege;KNAPPSCHAFT  ;Millerntorplatz 1  20359  Hamburg;;
Krankenkasse;KTP-BKK  ;Kurfürstenstrasse 58  45138  Essen;;
Krankenkasse;KV Service Plus GmbH  ;Heinrich- Nordhoff- Str 69  38440  Wolfsburg;05361/6097100;
Pflegestärkungsgesetz;KV/PV  ;Knappschaftsallee 1  50126  Bergheim;40303880;
Krankenkasse;KV/PV - Abrechnungsstelle Hamburg  ;Knappschaftsallee 1  50126  Bergheim;40303880;
Pflegekasse;KV/PV - Abrechnungsstelle Hamburg  ;Knappschaftsallee 1  50126  Bergheim;40303880;
Pflegestärkungsgesetz;Levina, Alla  ;    ;;
Pflegestärkungsgesetz;Levine, Boris  ;    ;;
Krankenkasse;Lohe, Bernhard  Allianz Private Krankenversicherung;An der Rather Burg 21  51107  Köln;;
Krankenkasse;Malteser Hilfsdienst gGmbH  ;  12678  Berlin;0221 9822 9049;040 694597 10240
Pflegekasse;Mark, Zahorodnii  Sozialamt , Frau Brühl;Ottmar-Pohl-Platz 1  51103  Köln;;
Krankenkasse;MEDENT GmbH  Abrechnungsstelle TK;EKO Industriepark Straße 61  15890  Eisenhüttenstadt;;
Pflegekasse;mh Plus  § 37 (3);  71632  Ludwigsburg;;
Verhinderungspflege;MHplus  Abrechnungszentrum Emmendingen;Bundesstr. 6  79312  Emmendingen;;
Krankenkasse;mhplus Betriebskrankenkasse  ;  71632  Ludwigsburg;7,14198E+11;
Pflegekasse;mhplus BKK  ;  71632  Ludwigsburg;0 71 41 / 9 79 00;0 71 41 / 9 79 01 13
Krankenkasse;mhplus BKK  Abrechnungszentrum Emmendingen;Bundesstr.6  79312  Emmendingen;0 71 41 / 97 90-0;
Pflegekasse;mhplus BKK  Abrechnungszentrum Emmendingen;Bundesstr. 6  79312  Emmendingen;;
Pflegestärkungsgesetz;mhplus BKK  Abrechnungszentrum Emmendingen;Bundesstr. 6  79312  Emmendingen;;
Pflegekasse;Mobil Oil BKK  ;Betriebskrankenkasse Mobil Oil  20091  Hamburg;0800 255 0800;0800 255 3002-888
Pflegestärkungsgesetz;Mobil Oil BKK  ;  29218  Celle;;
Pflegestärkungsgesetz;Nakonechna, Viktoriia  Frau Hein;Thieboldstr. 96  50676  Köln;;
Krankenkasse;Novitas BKK  ;  47050  Duisburg;;02 03 /5 45 60 82 07
Pflegekasse;Novitas BKK  ;Schifferstraße 92-100  47059  Duisburg;;
Pflegestärkungsgesetz;Novitas BKK  ;    ;;
Pflegekasse;Pflegekasse  ;Ringstr. 8  50998  Köln;;
Krankenkasse;Postbeamtenkrankenkasse  ;Innere Kanalstraße 15  50823  Köln;0711 346 52 996;
Krankenkasse;pronova BKK  ;  67082  Ludwigshafen;4,41925E+12;
Verhinderungspflege;pronova BKK  ;  67058  Ludwigshafen;;
Krankenkasse;pronova BKK  c/o DAVASO GmbH;  04310  Leipzig;0621 53391-1000;0621 53391-7000
Pflegekasse;Pronova BKK  c/o DAVASO GmbH;  04310  Leipzig;0 21 91 /  9 51 52 32 09;0 21 91/9 51 52 9193
Pflegestärkungsgesetz;Pronova BKK  c/o DAVASO GmbH;  04310  Leipzig;;
Pflegestärkungsgesetz;Pronova BKK  c/o DAVASO GmbH;  04310  Leipzig;;
Krankenkasse;R+V Betriebskrankenkasse  ;  65215  Wiesbaden;;
Pflegekasse;R+V Betriebskrankenkasse  ;  65215  Wiesbaden;;
Pflegestärkungsgesetz;R+V Betriebskrankenkasse  ;  65215  Wiesbaden;;
Krankenkasse;Salus BKK  ;Barfußgäßchen 15  04109  Leipzig;06102 2909-1706;06102 2909-22802
Krankenkasse;Salus BKK  Abrechnungsstelle Emmendingen;An der B 3 Haus Nr. 6  79312  Emmendingen;0 76 41 - 92 01-0;
Pflegekasse;Salus BKK  Abrechnungsstelle Emmendingen;An der B 3 Haus Nr, 6  79312  Emmendingen;0 76 40 - 92 01 - 0;
Pflegestärkungsgesetz;Salus BKK  Abrechnungsstelle Emmendingen;An der B 3 Haus Nr. 6  79312  Emmendingen;0 76 41 - 92 01-0;
Verhinderungspflege;SBK Inter Forum GmbH  ;Sommerfelder Str. 120  04316  Leipzig;;
Pflegekasse;SBK INTER-FORUM CmbH  ;Sommerfelder Str. 120  04316  Leipzig;;
Krankenkasse;SBK INTER-FORUM GmbH  ;Sommerfelder Str.120  04316  Leipzig;;
Pflegekasse;SBK INTER-FORUM GmbH  ;Sommerfelder Str.120  04316  Leipzig;;
Krankenkasse;SBK Siemens-Betriebskrankenkasse  ;  80227  München;0800 0725 725 725 0;0800 0725 725 725 1
Pflegekasse;SBK Siemens-Betriebskrankenkasse  ;  80227  München;0208 882 555 305;0208 882 555 6305
Pflegestärkungsgesetz;SBK Siemens-Betriebskrankenkasse  ;  80227  München;0800 0725 725 725 0;
Pflegekasse;Siemens-Betriebskrankenkasse  ;Mellinghoferstr. 77  45473  Mulheim;08 00 / 0 72 57 25 72 50;0800 07257257251
Pflegestärkungsgesetz;Sofiya Sheynman  Sozialhilfeträger;    ;;
Pflegekasse;Sozialamt  Frau Lingnau;Ottmat-Pohl-Platz 1  51103  Köln;0221 221 99 281;0221 221 29 591
Pflegekasse;Sozialamt - Frau Reutner  ;Ottmar-Pohl-Platz 1  51103  Köln;0221 221 22576;
Pflegekasse;Sozialamt  Herr Herrmann;Ottmar-Pohl-Platz 1  51103  Köln;0221 221 22576;0221 221 29591
Pflegekasse;Sozialamt Kalk Karree  Frau Heßler;Ottmar-Pohl-Platz 1  51103  Köln;;
Pflegekasse;Sozialamt Köln  Frau Claudia, Beißel;Ottmar-Pohl-Platz 1  51103  Köln;;
Pflegekasse;Sozialamt Köln  Frau Reuter;Ottmar-Pohl-Platz 1  51103  Köln;0221 221 22576;
Pflegekasse;Sozialamt Köln  Frau Schilli;Ottmar-Pohl-Platz 1  51103  Köln;221 98 400;0221 221 29591
Pflegekasse;Sozialamt Köln - Nippes  ;Neusser Str. 155  50733  Köln;;
Pflegekasse;Sozialamt Köln ( Ehrenfeld )  ;Venloer Straße 419-421  50825  Köln;0221 221-0;0221 221 94 444
Pflegekasse;Sozialamt Köln ( Innenstadt / Kalk)  ;Willy- Brandt-Platz 2  50679  Köln;;0221 221 91 354
Pflegekasse;Sozialamt Köln (Chorweiler)  ;Pariser Platz 1  50765  Köln;;
Pflegekasse;Sozialamt Köln (Kalk)  Frau Kilimann;Ottmar-Pohl-Platz 1  51103  Köln;0221221-97474;0221221-29591
Pflegekasse;Sozialamt Köln (Mulheim)  ;Wiener Platz 2a  51065  Köln;;
Pflegekasse;Sozialamt Köln (Nippes)  ;Neusser Str. 155  50733  Köln;;
Pflegekasse;Sozialamt Köln (Porz)  Frau Jorn;Josefstr.14  51143  Köln;0221 221 34348;
Pflegekasse;Sozialamt Köln Frau Schulta  ;Ottmar-Pohl-Platz 1  51103  Köln;0221 221 31527;0221 29 591
Pflegekasse;Sozialamt Köln, Frau Hein  ;Ottmar-Pohl-Platz 1  51103  Köln;;0221 221 29 591
Pflegekasse;Sozialamt Neuwied  ;Wilhelm-Leuschner-Str.9/23  56564  Neuwied;02631/803-207;02631/803-93-207
Krankenkasse;Stenshorn, Klaus-Peter  Stenshorn, Klaus-Peter;Rösrather Str. 103  51107  Köln;;
Verhinderungspflege;Techniker Krankenkasse  ;  24089  Kiel;;
Pflegekasse;Techniker Krankenkasse  DAVASO GmbH;Gärtnerweg 12  04425  Taucha;;
Pflegestärkungsgesetz;Techniker Krankenkasse  DAVASO GmbH;Gärtnerweg 12  04425  Taucha;;
Krankenkasse;Techniker Krankenkasse - DAVASO GmbH  -Behandlungspflege-;Gärtnerweg 12  04425  Taucha;;
Pflegekasse;Techniker Krankenkasse  Pflegekasse;  20902  Hamburg;;
Krankenkasse;Techniker Krankenkasse  Techniker;  20902  Hamburg;4,04607E+11;
Pflegekasse;Techniker Krankenkasse § 37  DAVASO GmbH;Gärtnerweg 12  04425  Taucha;;
Krankenkasse;Unfallkasse NRW  ;Heyerstr. 99  40625  Düsseldorf;;
Krankenkasse;Union Krankenversicherung AG  ;Peter-Zimmer-Straße 2  66123  Saarbrücken;0681 8447000;
Pflegekasse;Union Krankenversicherung AG  ;Peter-Zimmer-Straße 2  66123  Saarbrücken;0681 8447000;
Pflegestärkungsgesetz;Union Krankenversicherung AG  ;Peter-Zimmer-Straße 2  66123  Saarbrücken;0681 8447000;
Krankenkasse;Vereinigte IKK Data Services GmbH  ;Sommerfelder Str. 120  04316  Leipzig;;
Pflegekasse;Vereinigte IKK Data Services GmbH  ;Sommerfelder Str. 120  04316  Leipzig;;
Krankenkasse;Viactiv  ;  45064  Essen;;
Pflegekasse;VIACTIV  c/o DAVASO GmbH;  04310  Leipzig;0800 2221211;0234 479 199 9
Pflegestärkungsgesetz;VIACTIV  c/o DAVASO GmbH;  04310  Leipzig;0800 2221211;
Krankenkasse;VIACTIV Krankenkasse  c/o DAVASO GmbH;  04310  Leipzig;0800 222 121 1;0234 479 199 9
